,detector,mode,window_small,window_large,standard,fn,fp,sides
381,ratio,individual,25,120,35.78,47.7,35.78,1
382,ratio,individual,25,180,35.78,49.09,35.78,1
383,ratio,individual,25,240,35.78,50.65,35.78,1
384,ratio,individual,25,300,36.56,51.8,35.78,1
385,ratio,individual,25,360,37.48,52.13,36.15,1
386,ratio,individual,25,420,38.29,53.39,36.62,1
387,ratio,individual,25,480,39.25,54.33,36.62,1
388,ratio,individual,25,540,39.66,54.89,36.62,1
389,ratio,individual,25,600,40.8,55.65,36.62,1
390,ratio,individual,25,660,41.6,55.97,36.62,1
391,ratio,individual,25,720,42.28,56.92,37.2,1
392,ratio,individual,25,780,42.7,57.2,37.24,1
393,ratio,individual,25,840,42.74,57.23,36.68,1
394,ratio,individual,25,900,42.5,57.07,37.53,1
395,ratio,individual,25,960,42.52,57.08,37.53,1
396,ratio,individual,25,1020,42.26,56.85,37.62,1
397,ratio,individual,25,1080,42.29,56.64,37.06,1
398,ratio,individual,25,1140,42.33,56.67,37.7,1
399,ratio,individual,25,1200,42.17,56.46,37.79,1
400,ratio,individual,25,1260,42.21,56.3,37.32,1
401,ratio,individual,25,1320,41.88,56.15,37.7,1
402,ratio,individual,25,1380,41.88,56.09,37.51,1
403,ratio,individual,25,1440,42.02,56.09,37.42,1
404,ratio,individual,25,1500,41.36,56.31,37.11,1
405,ratio,individual,25,1560,41.55,56.44,37.07,1
406,ratio,individual,25,1620,41.78,56.59,36.98,1
407,ratio,individual,25,1680,41.88,56.65,37.36,1
408,ratio,individual,25,1740,41.46,56.37,37.26,1
409,ratio,individual,25,1800,41.55,56.21,37.17,1
410,ratio,individual,25,1860,41.74,56.4,37.36,1
411,ratio,individual,25,1920,42.07,56.65,37.36,1
412,ratio,individual,25,1980,42.15,57.12,37.28,1
413,ratio,individual,25,2040,42.67,57.47,37.95,1
414,ratio,individual,25,2100,42.58,57.41,37.76,1
415,ratio,individual,25,2160,42.53,57.13,38.14,1
416,ratio,individual,25,2220,42.48,57.06,38.33,1
417,ratio,individual,25,2280,42.69,57.12,38.42,1
418,ratio,individual,25,2340,42.94,56.96,38.61,1
419,ratio,individual,25,2400,43.08,56.96,38.74,1
420,ratio,individual,25,2460,43.08,57.05,39.03,1
421,ratio,individual,25,2520,42.91,56.85,39.05,1
422,ratio,individual,25,2580,42.89,56.86,39.43,1
423,ratio,individual,25,2640,42.85,56.94,39.5,1
424,ratio,individual,25,2700,43.18,57.13,39.43,1
425,ratio,individual,25,2760,43.13,57.29,39.47,1
426,ratio,individual,25,2820,43.18,57.31,39.47,1
427,ratio,individual,25,2880,43.36,57.14,39.73,1
428,ratio,individual,25,2940,43.46,57.2,39.92,1
429,ratio,individual,25,3000,43.6,57.3,40.21,1
430,ratio,individual,25,3060,43.65,57.52,40.3,1
431,ratio,individual,25,3120,43.6,57.5,40.21,1
432,ratio,individual,25,3180,43.51,57.57,40.02,1
433,ratio,individual,25,3240,43.79,57.69,40.14,1
434,ratio,individual,25,3300,43.66,57.7,40.33,1
435,ratio,individual,25,3360,43.66,57.8,40.33,1
436,ratio,individual,25,3420,43.66,57.8,40.33,1
437,ratio,individual,25,3480,43.71,57.86,40.43,1
438,ratio,individual,25,3540,43.71,57.86,40.43,1
439,ratio,individual,25,3600,43.85,57.92,40.71,1
440,ratio,individual,25,3660,43.92,58.02,40.71,1
441,ratio,individual,25,3720,43.97,58.05,40.71,1
442,ratio,individual,25,3780,43.97,58.05,40.71,1
443,ratio,individual,25,3840,43.97,58.05,40.71,1
444,ratio,individual,25,3900,43.9,57.92,40.81,1
445,ratio,individual,25,3960,43.9,57.83,40.81,1
446,ratio,individual,25,4020,43.81,57.74,40.62,1
447,ratio,individual,25,4080,43.68,57.78,40.47,1
448,ratio,individual,25,4140,43.6,57.85,40.37,1
449,ratio,individual,25,4200,43.64,57.95,40.37,1
450,ratio,individual,25,4260,43.64,57.95,40.28,1
451,ratio,individual,25,4320,43.74,57.89,39.9,1
452,ratio,individual,25,4380,43.74,57.89,39.81,1
453,ratio,individual,25,4440,43.78,57.93,39.9,1
454,ratio,individual,25,4500,43.88,57.99,40.06,1
455,ratio,individual,25,4560,43.88,57.99,40.15,1
456,ratio,individual,25,4620,43.93,58.02,40.15,1
457,ratio,individual,25,4680,44.05,58.08,40.25,1
458,ratio,individual,25,4740,44.1,58.08,40.25,1
459,ratio,individual,25,4800,44.19,58.15,40.15,1
460,ratio,individual,25,4860,44.42,58.18,40.34,1
461,ratio,individual,25,4920,44.52,58.21,40.44,1
462,ratio,individual,25,4980,44.8,58.31,40.93,1
463,ratio,individual,25,5040,44.52,58.21,40.91,1
464,ratio,individual,25,5100,44.52,58.15,40.91,1
465,ratio,individual,25,5160,44.54,58.14,40.85,1
466,ratio,individual,25,5220,44.59,58.17,40.91,1
467,ratio,individual,25,5280,44.68,58.24,41.01,1
468,ratio,individual,25,5340,44.54,58.25,41.01,1
469,ratio,individual,25,5400,44.63,58.41,41.57,1
470,ratio,individual,25,5460,44.61,58.47,41.57,1
471,ratio,individual,25,5520,44.56,58.44,41.76,1
472,ratio,individual,25,5580,44.61,58.47,41.76,1
473,ratio,individual,25,5640,44.61,58.47,41.77,1
474,ratio,individual,25,5700,44.61,58.47,41.76,1
475,ratio,individual,30,60,35.78,47.7,35.78,1
476,ratio,individual,30,120,35.78,47.7,35.78,1
477,ratio,individual,30,180,35.78,47.7,35.78,1
478,ratio,individual,30,240,35.78,49.02,35.78,1
479,ratio,individual,30,300,35.85,50.43,35.78,1
480,ratio,individual,30,360,36.66,51.09,36.05,1
481,ratio,individual,30,420,37.54,52.42,36.62,1
482,ratio,individual,30,480,37.47,53.69,36.62,1
483,ratio,individual,30,540,38.25,53.95,36.62,1
